name,ranking,tag_lst,key_major_count,graduate_program_count,doctoral_program_count,is_211,is_985,location_province,location_city,university_type,latitude,longitude
清华大学,1,"['双一流A', '985', '211', '北京市', '教育部', '工科院校']",37,271,253,True,True,北京市,北京市,工科院校,30.408239653676087,104.08754919293331
北京大学,2,"['双一流A', '985', '211', '北京市', '教育部', '综合院校']",81,312,263,True,True,北京市,北京市,综合院校,39.99887680537622,116.31683256328296
浙江大学,3,"['双一流A', '985', '211', '杭州市', '教育部', '综合院校']",35,326,296,True,True,浙江省,杭州市,综合院校,30.31005403236049,120.09727602402343
上海交通大学,4,"['双一流A', '985', '211', '上海市', '教育部', '综合院校']",49,298,203,True,True,上海市,上海市,综合院校,30.88944317876234,121.89734480154834
复旦大学,5,"['双一流A', '985', '211', '上海市', '教育部', '综合院校']",68,219,153,True,True,上海市,上海市,综合院校,31.06665792321301,121.74295536914276
南京大学,6,"['双一流A', '985', '211', '南京市', '教育部', '综合院校']",67,213,147,True,True,江苏省,南京市,综合院校,32.06143044219483,118.78600680500092
武汉大学,7,"['双一流A', '985', '211', '武汉市', '教育部', '综合院校']",52,347,250,True,True,湖北省,武汉市,综合院校,30.543803317143624,114.37292090919235
四川大学,8,"['双一流A', '985', '211', '成都市', '教育部', '综合院校']",46,443,349,True,True,四川省,成都市,综合院校,30.559018886386816,104.0085452894334
华中科技大学,9,"['双一流A', '985', '211', '武汉市', '教育部', '综合院校']",36,214,175,True,True,湖北省,武汉市,综合院校,22.534366847228462,113.95035286222772
吉林大学,10,"['双一流A', '985', '211', '长春市', '教育部', '综合院校']",41,311,240,True,True,吉林省,长春市,综合院校,43.82828411178479,125.27459596125962
中山大学,11,"['双一流A', '985', '211', '广州市', '教育部', '综合院校']",25,251,180,True,True,广东省,广州市,综合院校,22.532794975255268,113.94959702797188
山东大学,12,"['双一流A', '985', '211', '济南市', '教育部', '综合院校']",25,310,230,True,True,山东省,济南市,综合院校,36.60884375217886,117.05617402004576
哈尔滨工业大学,13,"['双一流A', '985', '211', '哈尔滨市', '工业和信息化部', '工科院校']",40,148,82,True,True,黑龙江省,哈尔滨市,工科院校,22.59409999404145,113.97627903720374
东南大学,14,"['双一流A', '985', '211', '南京市', '教育部', '综合院校']",20,238,112,True,True,江苏省,南京市,综合院校,31.27587257819881,120.75171638127445
中国科学技术大学,15,"['双一流A', '985', '211', '合肥市', '中国科学院', '工科院校']",45,133,98,True,True,安徽省,合肥市,工科院校,31.129182266277244,121.55234158738621
西安交通大学,16,"['双一流A', '985', '211', '西安市', '教育部', '综合院校']",16,242,154,True,True,陕西省,西安市,综合院校,34.2523593901098,108.99016577809884
中南大学,17,"['双一流A', '985', '211', '长沙市', '教育部', '综合院校']",18,355,197,True,True,湖南省,长沙市,综合院校,32.071665853691485,118.78553061325009
南开大学,18,"['双一流A', '985', '211', '天津市', '教育部', '综合院校']",44,231,172,True,True,天津市,天津市,综合院校,39.110825605578825,117.17203054777028
同济大学,19,"['双一流A', '985', '211', '上海市', '教育部', '工科院校']",21,263,144,True,True,上海市,上海市,工科院校,31.29187284562328,121.22063095917743
天津大学,20,"['双一流A', '985', '211', '天津市', '教育部', '工科院校']",31,178,126,True,True,天津市,天津市,工科院校,39.116464447509756,117.18011493803789
中国人民大学,21,"['双一流A', '985', '211', '北京市', '教育部', '综合院校']",16,183,124,True,True,北京市,北京市,综合院校,39.97654610615823,116.31976876467287
北京师范大学,22,"['双一流A', '985', '211', '北京市', '教育部', '师范院校']",39,166,111,True,True,北京市,北京市,师范院校,39.96734505008757,116.37214096404064
华南理工大学,23,"['双一流A', '985', '211', '广州市', '教育部', '工科院校']",39,193,168,True,True,广东省,广州市,工科院校,23.015208968739046,113.41480898855446
北京航空航天大学,24,"['双一流A', '985', '211', '北京市', '工业和信息化部', '工科院校']",28,38,21,True,True,北京市,北京市,工科院校,39.98765978892555,116.35379208586329
厦门大学,25,"['双一流A', '985', '211', '厦门市', '教育部', '综合院校']",38,276,187,True,True,福建省,厦门市,综合院校,24.443140681335805,118.11064839971014
苏州大学,26,"['211', '苏州市', '江苏省教育厅', '综合院校']",4,244,167,True,False,江苏省,苏州市,综合院校,31.310694898289515,120.647180030095
大连理工大学,27,"['双一流A', '985', '211', '大连市', '教育部', '工科院校']",23,260,155,True,True,辽宁省,大连市,工科院校,41.81217863957675,123.44058866258442
重庆大学,28,"['双一流A', '985', '211', '重庆市', '教育部', '综合院校']",17,205,133,True,True,重庆市,重庆市,综合院校,29.57342397255733,106.47047702054897
湖南大学,29,"['双一流B', '985', '211', '长沙市', '教育部', '综合院校']",14,198,130,True,True,湖南省,长沙市,综合院校,28.185638418924604,112.95125073706895
兰州大学,30,"['双一流A', '985', '211', '兰州市', '教育部', '综合院校']",10,235,116,True,True,甘肃省,兰州市,综合院校,36.05088202294622,103.8678115380683
华东师范大学,31,"['双一流A', '985', '211', '上海市', '教育部', '师范院校']",19,209,144,True,True,上海市,上海市,师范院校,31.211159081329516,121.62507037774616
北京理工大学,32,"['双一流A', '985', '211', '北京市', '工业和信息化部', '工科院校']",16,196,95,True,True,北京市,北京市,工科院校,39.96665907314033,116.32272625590338
西北工业大学,33,"['双一流A', '985', '211', '西安市', '工业和信息化部', '工科院校']",15,118,69,True,True,陕西省,西安市,工科院校,28.215084477681735,112.98301095717758
华东理工大学,34,"['211', '上海市', '教育部', '工科院校']",8,147,81,True,False,上海市,上海市,工科院校,31.28097684921687,121.42902499172352
